,Name,Total Value,Return
332,LRA; E=1.00e+06; K=6.00e-02,"$100,000.00",+0.000%
333,NN; E=1.00e+06; K=6.00e-02,"$100,000.00",+0.000%
334,LRA; E=1.00e+06; K=6.00e-03,"$100,000.00",+0.000%
335,NN; E=1.00e+06; K=6.00e-03,"$100,000.00",+0.000%
336,LRA; E=1.00e+06; K=7.00e+03,"$100,000.00",+0.000%
337,NN; E=1.00e+06; K=7.00e+03,"$100,000.00",+0.000%
338,LRA; E=1.00e+06; K=7.00e+02,"$100,000.00",+0.000%
339,NN; E=1.00e+06; K=7.00e+02,"$100,000.00",+0.000%
340,LRA; E=1.00e+06; K=7.00e+01,"$100,000.00",+0.000%
341,NN; E=1.00e+06; K=7.00e+01,"$100,000.00",+0.000%
342,LRA; E=1.00e+06; K=7.00e+00,"$100,000.00",+0.000%
343,NN; E=1.00e+06; K=7.00e+00,"$100,000.00",+0.000%
344,LRA; E=1.00e+06; K=7.00e-01,"$100,000.00",+0.000%
345,NN; E=1.00e+06; K=7.00e-01,"$100,000.00",+0.000%
346,LRA; E=1.00e+06; K=7.00e-02,"$100,000.00",+0.000%
347,NN; E=1.00e+06; K=7.00e-02,"$100,000.00",+0.000%
348,LRA; E=1.00e+06; K=7.00e-03,"$100,000.00",+0.000%
349,NN; E=1.00e+06; K=7.00e-03,"$100,000.00",+0.000%
350,LRA; E=1.00e+06; K=8.00e+03,"$100,000.00",+0.000%
351,NN; E=1.00e+06; K=8.00e+03,"$100,000.00",+0.000%
352,LRA; E=1.00e+06; K=8.00e+02,"$100,000.00",+0.000%
353,NN; E=1.00e+06; K=8.00e+02,"$100,000.00",+0.000%
354,LRA; E=1.00e+06; K=8.00e+01,"$100,000.00",+0.000%
355,NN; E=1.00e+06; K=8.00e+01,"$100,000.00",+0.000%
356,LRA; E=1.00e+06; K=8.00e+00,"$100,000.00",+0.000%
357,NN; E=1.00e+06; K=8.00e+00,"$100,000.00",+0.000%
358,LRA; E=1.00e+06; K=8.00e-01,"$100,000.00",+0.000%
359,NN; E=1.00e+06; K=8.00e-01,"$100,000.00",+0.000%
360,LRA; E=1.00e+06; K=8.00e-02,"$100,000.00",+0.000%
361,NN; E=1.00e+06; K=8.00e-02,"$100,000.00",+0.000%
362,LRA; E=1.00e+06; K=8.00e-03,"$100,000.00",+0.000%
363,NN; E=1.00e+06; K=8.00e-03,"$100,000.00",+0.000%
364,LRA; E=1.00e+06; K=9.00e+03,"$100,000.00",+0.000%
365,NN; E=1.00e+06; K=9.00e+03,"$100,000.00",+0.000%
366,LRA; E=1.00e+06; K=9.00e+02,"$100,000.00",+0.000%
367,NN; E=1.00e+06; K=9.00e+02,"$100,000.00",+0.000%
368,LRA; E=1.00e+06; K=9.00e+01,"$100,000.00",+0.000%
369,NN; E=1.00e+06; K=9.00e+01,"$100,000.00",+0.000%
370,LRA; E=1.00e+06; K=9.00e+00,"$100,000.00",+0.000%
